Holdings details

Total Stock Market ETF (VTI)


Equity,as of 02/28/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2310194,Electronic Arts Inc,EA,0.08%,Interactive Home Entertainment,US,---,"$1,585,920,428.19","7,907,067"
,2884183,Teradyne Inc,TER,0.08%,Semiconductor Materials & Equipment,US,---,"$1,584,833,044.17","4,952,139"
,B5B2106,Fortinet Inc,FTNT,0.08%,Systems Software,US,---,"$1,579,905,089.21","19,991,207"
,2670519,Exelon Corp,EXC,0.08%,Electric Utilities,US,---,"$1,579,360,817.16","31,925,628"
,BYM9ZP2,Lumentum Holdings Inc,LITE,0.07%,Communications Equipment,US,---,"$1,571,434,612.72","2,241,992"
,2614807,Xcel Energy Inc,XEL,0.07%,Electric Utilities,US,---,"$1,559,440,611.36","18,707,301"
,B0X7DZ3,Chipotle Mexican Grill Inc,CMG,0.07%,Restaurants,US,---,"$1,556,566,937.86","41,820,713"
,B1FLZ21,Ciena Corp,CIEN,0.07%,Communications Equipment,US,---,"$1,556,370,842.40","4,463,352"
,2852533,Public Storage,PSA,0.07%,Self-Storage REITs,US,---,"$1,533,453,955.28","4,993,988"
,2317087,Entergy Corp,ETR,0.07%,Electric Utilities,US,---,"$1,512,417,835.30","14,120,230"
,BHKD3S6,Dell Technologies Inc,DELL,0.07%,"Technology Hardware, Storage & Peripherals",US,---,"$1,499,085,362.64","10,123,483"
,2098876,Yum! Brands Inc,YUM,0.07%,Restaurants,US,---,"$1,476,104,444.16","8,777,976"
,2262530,Republic Services Inc,RSG,0.07%,Environmental & Facilities Services,US,---,"$1,457,301,727.00","6,363,763"
,2754060,Rockwell Automation Inc,ROK,0.07%,Electrical Components & Equipment,US,---,"$1,447,013,448.05","3,551,389"
,2955733,Westinghouse Air Brake Technologies Corp,WAB,0.07%,Construction Machinery & Heavy Transportation Equipment,US,---,"$1,425,980,900.70","5,402,466"
,2965107,Nasdaq Inc,NDAQ,0.07%,Financial Exchanges & Data,US,---,"$1,423,140,668.64","16,249,608"
,BYQHPG3,Carvana Co,CVNA,0.07%,Automotive Retail,US,---,"$1,420,118,514.56","4,249,816"
,2336747,Fifth Third Bancorp,FITB,0.07%,Diversified Banks,US,---,"$1,405,893,717.99","28,419,117"
,BYVG1F6,Waste Connections Inc,WCN,0.07%,Environmental & Facilities Services,US,---,"$1,393,669,135.04","8,096,608"
,B00FWN1,Alnylam Pharmaceuticals Inc,ALNY,0.07%,Biotechnology,US,---,"$1,390,866,184.68","4,177,779"
,B6WVMH3,CBRE Group Inc,CBRE,0.07%,Real Estate Services,US,---,"$1,388,788,517.58","9,405,313"
,B0J7D57,Ameriprise Financial Inc,AMP,0.07%,Asset Management & Custody Banks,US,---,"$1,381,545,875.08","2,938,709"
,2868165,Sysco Corp,SYY,0.07%,Food Distributors,US,---,"$1,380,353,015.56","15,142,091"
,2027342,American International Group Inc,AIG,0.07%,Property & Casualty Insurance,US,---,"$1,373,133,965.16","17,059,684"
,2707677,Public Service Enterprise Group Inc,PEG,0.06%,Multi-Utilities,US,---,"$1,359,179,913.48","15,791,564"
,B1W9D46,Delta Air Lines Inc,DAL,0.06%,Passenger Airlines,US,---,"$1,356,650,206.20","20,649,166"
,BMWBC20,ROBLOX Corp,RBLX,0.06%,Interactive Home Entertainment,US,---,"$1,351,042,388.10","19,677,285"
,BN44JF6,Apollo Global Management Inc,APO,0.06%,Diversified Financial Services,US,---,"$1,343,818,584.40","12,847,214"
,2250687,DR Horton Inc,DHI,0.06%,Homebuilding,US,---,"$1,333,731,545.67","8,315,553"
,B3Z5T14,Garmin Ltd,GRMN,0.06%,Consumer Electronics,US,---,"$1,307,422,865.82","5,171,154"
,2293819,eBay Inc,EBAY,0.06%,Broadline Retail,US,---,"$1,298,422,109.60","14,290,360"
,2931205,Vulcan Materials Co,VMC,0.06%,Construction Materials,US,---,"$1,294,239,150.00","4,174,965"
,B2972D2,MSCI Inc,MSCI,0.06%,Financial Exchanges & Data,US,---,"$1,291,324,804.56","2,258,232"
,2572079,Martin Marietta Materials Inc,MLM,0.06%,Construction Materials,US,---,"$1,288,931,477.29","1,905,097"
,BNG8Z81,Coherent Corp,COHR,0.06%,Electronic Components,US,---,"$1,287,065,681.37","4,970,709"
,2497406,Kroger Co/The,KR,0.06%,Food Retail,US,---,"$1,286,961,634.56","18,859,344"
,2689560,PG&E Corp,PCG,0.06%,Electric Utilities,US,---,"$1,286,439,403.00","67,707,337"
,BDT5S35,Axon Enterprise Inc,AXON,0.06%,Aerospace & Defense,US,---,"$1,285,796,625.60","2,370,569"
,2216850,Consolidated Edison Inc,ED,0.06%,Multi-Utilities,US,---,"$1,284,491,188.40","11,415,670"
,2927925,Ventas Inc,VTR,0.06%,Health Care REITs,US,---,"$1,279,719,746.64","14,852,829"
,2573209,MetLife Inc,MET,0.06%,Life & Health Insurance,US,---,"$1,276,431,265.51","17,710,993"
,2592174,Microchip Technology Inc,MCHP,0.06%,Semiconductors,US,---,"$1,275,622,753.68","17,090,337"
,BYW36M8,PayPal Holdings Inc,PYPL,0.06%,Transaction & Payment Processing Services,US,---,"$1,262,620,228.88","27,323,528"
,2655408,Occidental Petroleum Corp,OXY,0.06%,Integrated Oil & Gas,US,---,"$1,240,648,394.40","23,373,180"
,2476193,Hartford Insurance Group Inc/The,HIG,0.06%,Property & Casualty Insurance,US,---,"$1,239,466,658.65","8,801,155"
,BD3W133,Keurig Dr Pepper Inc,KDP,0.06%,Soft Drinks & Non-alcoholic Beverages,US,---,"$1,235,721,228.48","40,809,816"
,BTGQCX1,Crown Castle Inc,CCI,0.06%,Telecom Tower REITs,US,---,"$1,233,232,271.04","13,772,976"
,2651086,Nucor Corp,NUE,0.06%,Steel,US,---,"$1,215,291,361.68","6,870,711"
,2319414,EQT Corp,EQT,0.06%,Oil & Gas Exploration & Production,US,---,"$1,212,403,652.36","19,739,558"
,2656423,Old Dominion Freight Line Inc,ODFL,0.06%,Cargo Ground Transportation,US,---,"$1,208,496,339.90","5,951,718"
,BMC9P69,Coinbase Global Inc,COIN,0.06%,Financial Exchanges & Data,US,---,"$1,205,921,093.65","6,857,669"
,BYY8XK8,WEC Energy Group Inc,WEC,0.06%,Multi-Utilities,US,---,"$1,203,242,374.40","10,287,640"
,2749602,Roper Technologies Inc,ROP,0.06%,Application Software,US,---,"$1,190,191,343.56","3,403,172"
,2732903,ResMed Inc,RMD,0.06%,Health Care Equipment,US,---,"$1,182,911,023.08","4,616,058"
,BL5GZ82,Ingersoll Rand Inc,IR,0.06%,Industrial Machinery & Supplies & Components,US,---,"$1,176,115,119.84","12,493,256"
,2122117,Take-Two Interactive Software Inc,TTWO,0.06%,Interactive Home Entertainment,US,---,"$1,173,838,561.72","5,550,589"
,2491839,Kimberly-Clark Corp,KMB,0.06%,Household Products,US,---,"$1,168,880,787.20","10,488,880"
,BT6C8Z3,Rocket Lab Corp,RKLB,0.06%,Aerospace & Defense,US,---,"$1,167,597,832.90","16,897,219"
,BQ84ZQ6,Kenvue Inc,KVUE,0.06%,Personal Care Products,US,---,"$1,158,751,558.32","60,604,161"
,BL6JPG8,GE HealthCare Technologies Inc,GEHC,0.05%,Health Care Equipment,US,---,"$1,153,299,163.74","13,685,762"
,BKT9Y49,Datadog Inc,DDOG,0.05%,Application Software,US,---,"$1,152,949,973.04","10,297,874"
,BK531S8,Otis Worldwide Corp,OTIS,0.05%,Industrial Machinery & Supplies & Components,US,---,"$1,140,654,366.80","12,323,405"
,2422806,Hershey Co/The,HSY,0.05%,Packaged Foods & Meats,US,---,"$1,107,270,930.48","4,686,266"
,BYNZGK1,Block Inc,XYZ,0.05%,Transaction & Payment Processing Services,US,---,"$1,103,047,227.10","17,316,283"
,B4QG225,United Airlines Holdings Inc,UAL,0.05%,Passenger Airlines,US,---,"$1,101,257,901.50","10,359,905"
,2974329,Strategy Inc,MSTR,0.05%,Application Software,US,---,"$1,096,226,176.50","8,465,067"
,2740542,Arch Capital Group Ltd,ACGL,0.05%,Property & Casualty Insurance,US,---,"$1,090,780,520.20","10,891,468"
,2819118,Prudential Financial Inc,PRU,0.05%,Life & Health Insurance,US,---,"$1,088,287,528.78","11,062,081"
,B5B1S13,Dollar General Corp,DG,0.05%,Consumer Staples Merchandise Retail,US,---,"$1,087,499,926.80","6,960,445"
,2520153,Agilent Technologies Inc,A,0.05%,Life Sciences Tools & Services,US,---,"$1,087,034,126.64","8,955,628"
,2212922,NRG Energy Inc,NRG,0.05%,Electric Utilities,US,---,"$1,085,292,719.28","6,064,443"
,2842040,State Street Corp,STT,0.05%,Asset Management & Custody Banks,US,---,"$1,078,047,437.14","8,381,647"
,2445966,Huntington Bancshares Inc/OH,HBAN,0.05%,Regional Banks,US,---,"$1,073,226,638.40","63,882,538"
,2342034,Fiserv Inc,FISV,0.05%,Transaction & Payment Processing Services,US,---,"$1,059,142,159.74","17,003,406"
,2340168,M&T Bank Corp,MTB,0.05%,Regional Banks,US,---,"$1,051,052,638.86","4,844,007"
,2208073,Copart Inc,CPRT,0.05%,Diversified Support Services,US,---,"$1,049,273,228.90","27,547,210"
,2047317,Archer-Daniels-Midland Co,ADM,0.05%,Agricultural Products & Services,US,---,"$1,049,030,144.08","15,194,527"
,2523044,Carnival Corp,CCL,0.05%,"Hotels, Resorts & Cruise Lines",US,---,"$1,048,079,925.95","33,219,649"
,BDD1BB8,Bloom Energy Corp,BE,0.05%,Heavy Electrical Equipment,US,---,"$1,047,754,681.38","6,730,614"
,2474164,EMCOR Group Inc,EME,0.05%,Construction & Engineering,US,---,"$1,025,285,127.36","1,414,928"
,B7Y8YR3,Diamondback Energy Inc,FANG,0.05%,Oil & Gas Exploration & Production,US,---,"$1,024,931,686.40","5,887,705"
,B02HWR9,Extra Space Storage Inc,EXR,0.05%,Self-Storage REITs,US,---,"$1,013,362,668.34","6,709,678"
,2503477,Teledyne Technologies Inc,TDY,0.05%,Electronic Equipment & Instruments,US,---,"$1,010,912,458.50","1,484,235"
,2614487,Insmed Inc,INSM,0.05%,Biotechnology,US,---,"$1,007,109,892.70","6,744,190"
,BF09HX3,Tapestry Inc,TPR,0.05%,"Apparel, Accessories & Luxury Goods",US,---,"$1,005,871,932.66","6,469,878"
,2330299,Fair Isaac Corp,FICO,0.05%,Application Software,US,---,"$1,004,281,748.80","712,580"
,B3P2CN8,Xylem Inc/NY,XYL,0.05%,Industrial Machinery & Supplies & Components,US,---,"$997,499,153.24","7,699,129"
,BLKFTK4,FTAI Aviation Ltd,FTAI,0.05%,Aerospace & Defense,US,---,"$992,646,065.40","3,246,063"
,B5834C5,Cboe Global Markets Inc,CBOE,0.05%,Financial Exchanges & Data,US,---,"$991,855,303.56","3,309,273"
,2937689,Waters Corp,WAT,0.05%,Life Sciences Tools & Services,US,---,"$989,538,567.18","3,098,311"
,2257019,Cognizant Technology Solutions Corp,CTSH,0.05%,IT Consulting & Other Services,US,---,"$982,882,033.91","15,255,037"
,2278407,Dover Corp,DOV,0.05%,Industrial Machinery & Supplies & Components,US,---,"$977,027,683.50","4,332,717"
,BM99VY2,Texas Pacific Land Corp,TPL,0.05%,Oil & Gas Exploration & Production,US,---,"$972,302,620.77","1,854,513"
,B28TS42,Ulta Beauty Inc,ULTA,0.05%,Other Specialty Retail,US,---,"$970,947,306.04","1,417,876"
,2050832,Ameren Corp,AEE,0.05%,Multi-Utilities,US,---,"$968,037,072.00","8,545,525"
,BVFTF03,Iron Mountain Inc,IRM,0.05%,Other Specialized REITs,US,---,"$962,360,604.66","8,883,602"
,2674458,Paychex Inc,PAYX,0.05%,Human Resource & Employment Services,US,---,"$958,599,152.40","10,235,976"
,2315359,Atmos Energy Corp,ATO,0.05%,Gas Utilities,US,---,"$954,009,191.31","5,107,389"
,B1WT4X2,Interactive Brokers Group Inc,IBKR,0.05%,Investment Banking & Brokerage,US,---,"$952,312,616.64","13,377,056"
,BYWH073,VICI Properties Inc,VICI,0.05%,Other Specialized REITs,US,---,"$945,346,998.99","31,292,519"
,BDB6Q21,Willis Towers Watson PLC,WTW,0.04%,Insurance Brokers,US,---,"$923,626,911.66","3,026,598"
,BDR73G1,IQVIA Holdings Inc,IQV,0.04%,Life Sciences Tools & Services,US,---,"$915,761,110.20","5,121,420"
,B4P9W92,Verisk Analytics Inc,VRSK,0.04%,Research & Consulting Services,US,---,"$914,741,063.28","4,406,904"
,2829515,Edison International,EIX,0.04%,Electric Utilities,US,---,"$909,858,376.78","12,173,647"
,B0796X4,Dexcom Inc,DXCM,0.04%,Health Care Equipment,US,---,"$906,185,898.59","12,340,813"
,BVVN4Q8,Eversource Energy,ES,0.04%,Electric Utilities,US,---,"$903,655,273.77","11,857,437"
,B8K6ZD1,Workday Inc,WDAY,0.04%,Application Software,US,---,"$900,734,757.12","6,733,962"
,2440637,CenterPoint Energy Inc,CNP,0.04%,Multi-Utilities,US,---,"$897,723,681.00","20,637,326"
,BYVYWS0,Hewlett Packard Enterprise Co,HPE,0.04%,"Technology Hardware, Storage & Peripherals",US,---,"$895,761,270.57","41,721,531"
,2455965,Biogen Inc,BIIB,0.04%,Biotechnology,US,---,"$890,321,596.26","4,641,443"
,2100920,FirstEnergy Corp,FE,0.04%,Electric Utilities,US,---,"$886,593,847.00","17,329,825"
,2126249,Mettler-Toledo International Inc,MTD,0.04%,Life Sciences Tools & Services,US,---,"$882,861,239.65","645,985"
,2698470,PPG Industries Inc,PPG,0.04%,Specialty Chemicals,US,---,"$873,337,255.77","7,084,751"
,2093666,Berkshire Hathaway Inc,BRK/A,0.04%,Multi-Sector Holdings,US,---,"$872,821,000.00","1,153"
,2680905,PPL Corp,PPL,0.04%,Electric Utilities,US,---,"$866,058,575.52","22,218,024"
,2900335,Tractor Supply Co,TSCO,0.04%,Other Specialty Retail,US,---,"$865,597,777.92","16,697,488"
,2480677,Devon Energy Corp,DVN,0.04%,Oil & Gas Exploration & Production,US,---,"$863,157,675.90","19,829,030"
,BYQRG48,Natera Inc,NTRA,0.04%,Biotechnology,US,---,"$862,262,971.92","4,144,698"
,2405302,Halliburton Co,HAL,0.04%,Oil & Gas Equipment & Services,US,---,"$861,472,296.00","23,929,786"
,BDFG6S3,Hubbell Inc,HUBB,0.04%,Electrical Components & Equipment,US,---,"$860,113,472.12","1,681,124"
,2279303,Omnicom Group Inc,OMC,0.04%,Advertising,US,---,"$857,438,451.48","10,053,212"
,2718992,Raymond James Financial Inc,RJF,0.04%,Investment Banking & Brokerage,US,---,"$856,524,390.84","5,595,273"
,BFH3N85,Veeva Systems Inc,VEEV,0.04%,Health Care Technology,US,---,"$852,051,603.45","4,681,345"
,2471789,Jabil Inc,JBL,0.04%,Electronic Manufacturing Services,US,---,"$850,972,986.60","3,211,340"
,BDSFG98,TechnipFMC PLC,FTI,0.04%,Oil & Gas Equipment & Services,US,---,"$847,473,960.35","12,780,485"
,2849472,Steel Dynamics Inc,STLD,0.04%,Steel,US,---,"$846,544,411.44","4,383,288"
,2583576,ON Semiconductor Corp,ON,0.04%,Semiconductors,US,---,"$845,347,381.20","12,715,815"
,2708841,PulteGroup Inc,PHM,0.04%,Homebuilding,US,---,"$844,484,659.20","6,155,136"
,B0T7YX2,Live Nation Entertainment Inc,LYV,0.04%,Movies & Entertainment,US,---,"$842,730,757.00","5,197,550"
,BW1P234,Qnity Electronics Inc,Q,0.04%,Semiconductor Materials & Equipment,US,---,"$839,268,833.28","6,620,928"
,B2R3PV1,American Water Works Co Inc,AWK,0.04%,Water Utilities,US,---,"$839,150,705.95","6,168,865"
,2769796,Fidelity National Information Services Inc,FIS,0.04%,Transaction & Payment Processing Services,US,---,"$833,412,274.24","16,354,244"
,2280220,DTE Energy Co,DTE,0.04%,Multi-Utilities,US,---,"$827,339,447.44","5,581,081"
,2241205,Curtiss-Wright Corp,CW,0.04%,Aerospace & Defense,US,---,"$815,983,896.86","1,165,142"
,2648668,Northern Trust Corp,NTRS,0.04%,Asset Management & Custody Banks,US,---,"$812,417,800.30","5,677,670"
,2319146,Equifax Inc,EFX,0.04%,Research & Consulting Services,US,---,"$809,246,914.56","3,872,736"
,2196888,Cincinnati Financial Corp,CINF,0.04%,Property & Casualty Insurance,US,---,"$807,798,112.02","4,926,199"
,2179414,Casey's General Stores Inc,CASY,0.04%,Food Retail,US,---,"$807,174,587.37","1,177,343"
,2831543,Southwest Airlines Co,LUV,0.04%,Passenger Airlines,US,---,"$805,314,203.88","16,348,238"
,BF2FJ99,MongoDB Inc,MDB,0.04%,Internet Services & Infrastructure,US,---,"$802,525,787.28","2,443,224"
,2755706,Royal Gold Inc,RGLD,0.04%,Gold,US,---,"$800,099,338.14","2,668,866"
,B748CK2,Expedia Group Inc,EXPE,0.04%,"Hotels, Resorts & Cruise Lines",US,---,"$798,067,882.61","3,700,069"
,2195841,Church & Dwight Co Inc,CHD,0.04%,Household Products,US,---,"$795,646,117.14","7,587,699"
,2131179,AvalonBay Communities Inc,AVB,0.04%,Multi-Family Residential REITs,US,---,"$792,910,892.07","4,473,909"
,2289874,Darden Restaurants Inc,DRI,0.04%,Restaurants,US,---,"$786,610,228.95","3,678,327"
,BP96PS6,Synchrony Financial,SYF,0.04%,Consumer Finance,US,---,"$785,633,495.70","11,367,870"
,2566436,Markel Group Inc,MKL,0.04%,Property & Casualty Insurance,US,---,"$783,706,602.97","378,151"
,BFY8C75,STERIS PLC,STE,0.04%,Health Care Equipment,US,---,"$782,867,423.80","3,102,308"
,BTTRKN7,CoreWeave Inc,CRWV,0.04%,Internet Services & Infrastructure,US,---,"$777,878,248.68","9,777,253"
,2967589,Williams-Sonoma Inc,WSM,0.04%,Homefurnishing Retail,US,---,"$776,500,056.45","3,775,833"
,BRK49M5,Smurfit Westrock PLC,SW,0.04%,Paper & Plastic Packaging Products & Materials,US,---,"$776,036,379.00","16,507,900"
,2272476,Dollar Tree Inc,DLTR,0.04%,Consumer Staples Merchandise Retail,US,---,"$775,311,902.16","6,129,917"
,BQRX1X3,Citizens Financial Group Inc,CFG,0.04%,Regional Banks,US,---,"$773,011,141.50","12,842,850"
,BMZ5LZ5,Expand Energy Corp,EXE,0.04%,Oil & Gas Exploration & Production,US,---,"$772,353,977.84","7,156,727"
,B01R311,Regions Financial Corp,RF,0.04%,Regional Banks,US,---,"$769,036,547.95","27,633,365"
,2367026,General Mills Inc,GIS,0.04%,Packaged Foods & Meats,US,---,"$762,440,526.95","16,856,965"
,B75JX34,LPL Financial Holdings Inc,LPLA,0.04%,Investment Banking & Brokerage,US,---,"$760,460,030.80","2,531,660"
,BSBK800,Labcorp Holdings Inc,LH,0.04%,Health Care Services,US,---,"$757,873,725.44","2,621,312"
,2219224,CMS Energy Corp,CMS,0.04%,Multi-Utilities,US,---,"$751,798,329.86","9,629,798"
,2237561,HEICO Corp,HEI/A,0.04%,Aerospace & Defense,US,---,"$749,182,337.93","3,120,163"
,2702791,Quest Diagnostics Inc,DGX,0.04%,Health Care Services,US,---,"$745,092,724.71","3,516,081"
,B6Z1355,XPO Inc,XPO,0.04%,Cargo Ground Transportation,US,---,"$742,379,465.62","3,527,246"
,2353058,Flex Ltd,FLEX,0.04%,Electronic Manufacturing Services,US,---,"$737,603,914.66","11,704,283"
,2948089,Woodward Inc,WWD,0.03%,Aerospace & Defense,US,---,"$732,451,115.88","1,893,813"
,2320524,Estee Lauder Cos Inc/The,EL,0.03%,Personal Care Products,US,---,"$731,560,423.56","6,682,748"
,BF14BT1,Ares Management Corp,ARES,0.03%,Asset Management & Custody Banks,US,---,"$730,738,230.66","6,523,866"
,2465254,International Paper Co,IP,0.03%,Paper & Plastic Packaging Products & Materials,US,---,"$726,971,222.25","16,692,795"
,BPGMZQ5,Veralto Corp,VLTO,0.03%,Environmental & Facilities Services,US,---,"$726,234,451.30","7,453,910"
,2445063,Humana Inc,HUM,0.03%,Managed Health Care,US,---,"$724,513,678.42","3,802,423"
,2319157,Equity Residential,EQR,0.03%,Multi-Family Residential REITs,US,---,"$721,457,827.86","11,413,666"
,2490911,KeyCorp,KEY,0.03%,Diversified Banks,US,---,"$714,566,170.72","34,453,528"
,2645409,NiSource Inc,NI,0.03%,Multi-Utilities,US,---,"$714,144,576.20","15,098,194"
,BDV82B8,Leidos Holdings Inc,LDOS,0.03%,Research & Consulting Services,US,---,"$707,486,297.00","4,040,470"
,2526117,ATI Inc,ATI,0.03%,Aerospace & Defense,US,---,"$702,869,669.88","4,296,532"
,2162340,Coterra Energy Inc,CTRA,0.03%,Oil & Gas Exploration & Production,US,---,"$699,703,362.82","22,873,598"
,2170473,Constellation Brands Inc,STZ,0.03%,Distillers & Vintners,US,---,"$698,505,400.26","4,424,841"
,2807061,Centene Corp,CNC,0.03%,Managed Health Care,US,---,"$697,897,284.48","15,550,296"
,2116228,CH Robinson Worldwide Inc,CHRW,0.03%,Air Freight & Logistics,US,---,"$692,362,056.75","3,737,447"
,2430412,United Therapeutics Corp,UTHR,0.03%,Biotechnology,US,---,"$686,133,419.40","1,361,646"
,BHXCF84,Dow Inc,DOW,0.03%,Commodity Chemicals,US,---,"$685,510,581.28","22,307,536"
,B1VP7R6,Broadridge Financial Solutions Inc,BR,0.03%,Data Processing & Outsourced Services,US,---,"$685,301,203.04","3,686,992"
,BMX5GK7,Corpay Inc,CPAY,0.03%,Transaction & Payment Processing Services,US,---,"$683,008,116.70","2,100,917"
,BYVFC94,US Foods Holding Corp,USFD,0.03%,Food Distributors,US,---,"$681,026,979.79","7,049,239"
,BZ6TS23,SBA Communications Corp,SBAC,0.03%,Telecom Tower REITs,US,---,"$677,909,200.00","3,370,000"
,BM8J4C2,SoFi Technologies Inc,SOFI,0.03%,Consumer Finance,US,---,"$672,138,495.36","37,845,636"
,2046853,Albemarle Corp,ALB,0.03%,Specialty Chemicals,US,---,"$665,332,239.35","3,723,805"
,B8DMK08,Tenet Healthcare Corp,THC,0.03%,Health Care Facilities,US,---,"$664,925,833.76","2,777,584"
,2803014,Principal Financial Group Inc,PFG,0.03%,Life & Health Insurance,US,---,"$662,749,533.68","6,945,604"
,BK0VN47,DuPont de Nemours Inc,DD,0.03%,Specialty Chemicals,US,---,"$662,246,773.92","13,234,348"
,2504566,Packaging Corp of America,PKG,0.03%,Paper & Plastic Packaging Products & Materials,US,---,"$660,315,730.08","2,844,472"
,2692687,Brown & Brown Inc,BRO,0.03%,Insurance Brokers,US,---,"$659,523,131.82","9,183,001"
,2511920,Lennar Corp,LEN,0.03%,Homebuilding,US,---,"$659,049,017.88","5,762,933"
,2702337,T Rowe Price Group Inc,TROW,0.03%,Asset Management & Custody Banks,US,---,"$652,072,713.43","6,890,761"
,2093644,W R Berkley Corp,WRB,0.03%,Property & Casualty Insurance,US,---,"$646,442,539.50","9,015,935"
,BPLYVN5,Liberty Media Corp-Liberty Formula One,FWONK,0.03%,Movies & Entertainment,US,---,"$644,637,347.46","7,038,294"
,BYRY499,Kraft Heinz Co/The,KHC,0.03%,Packaged Foods & Meats,US,---,"$644,148,932.36","26,174,276"
,2637785,NVR Inc,NVR,0.03%,Homebuilding,US,---,"$641,327,629.32","85,308"
,B1HMF22,First Solar Inc,FSLR,0.03%,Semiconductors,US,---,"$635,905,318.40","3,224,672"
,2599700,Entegris Inc,ENTG,0.03%,Semiconductor Materials & Equipment,US,---,"$635,243,180.10","4,796,098"
,BYZ62T3,Everpure Inc,PSTG,0.03%,"Technology Hardware, Storage & Peripherals",US,---,"$634,733,590.14","9,883,737"
,2818740,Snap-on Inc,SNA,0.03%,Industrial Machinery & Supplies & Components,US,---,"$633,169,549.54","1,643,657"
,2464165,International Flavors & Fragrances Inc,IFF,0.03%,Specialty Chemicals,US,---,"$631,714,131.09","7,682,283"
,B23FN39,Lululemon Athletica Inc,LULU,0.03%,"Apparel, Accessories & Luxury Goods",US,---,"$631,237,678.71","3,408,963"
,BZ6VT82,Charter Communications Inc,CHTR,0.03%,Cable & Satellite,US,---,"$623,990,272.95","2,659,465"
,2719951,Exact Sciences Corp,EXAS,0.03%,Biotechnology,US,---,"$619,999,013.16","5,997,282"
,B4JSZL8,Fabrinet,FN,0.03%,Electronic Manufacturing Services,US,---,"$617,881,778.97","1,132,419"
,2613990,Illumina Inc,ILMN,0.03%,Life Sciences Tools & Services,US,---,"$617,598,713.88","4,593,178"
,2783815,Zimmer Biomet Holdings Inc,ZBH,0.03%,Health Care Equipment,US,---,"$617,150,876.40","6,269,310"
,2325507,Expeditors International of Washington Inc,EXPD,0.03%,Air Freight & Logistics,US,---,"$614,411,908.41","4,236,447"
,BF311Y5,Burlington Stores Inc,BURL,0.03%,Apparel Retail,US,---,"$610,523,388.66","1,989,518"
,BFMXGR0,Evergy Inc,EVRG,0.03%,Electric Utilities,US,---,"$607,196,248.64","7,257,904"
,2747305,Rollins Inc,ROL,0.03%,Environmental & Facilities Services,US,---,"$606,995,543.47","9,968,723"
,BMVNLY2,Reddit Inc,RDDT,0.03%,Interactive Media & Services,US,---,"$604,107,014.91","4,143,111"
,BDVJJQ5,nVent Electric PLC,NVT,0.03%,Electrical Components & Equipment,US,---,"$603,644,640.28","5,100,073"
,2630643,NetApp Inc,NTAP,0.03%,"Technology Hardware, Storage & Peripherals",US,---,"$603,002,285.61","6,089,087"
,2142922,VeriSign Inc,VRSN,0.03%,Internet Services & Infrastructure,US,---,"$601,054,758.06","2,636,899"
,2262864,CoStar Group Inc,CSGP,0.03%,Real Estate Services,US,---,"$597,670,142.84","13,391,668"
,2177504,Carpenter Technology Corp,CRS,0.03%,Aerospace & Defense,US,---,"$596,880,090.45","1,499,435"
,BZ0W624,BWX Technologies Inc,BWXT,0.03%,Aerospace & Defense,US,---,"$596,079,548.58","2,893,871"
,BGSXTS3,Moderna Inc,MRNA,0.03%,Biotechnology,US,---,"$595,654,044.04","11,119,172"
,BL71K91,Revolution Medicines Inc,RVMD,0.03%,Biotechnology,US,---,"$595,358,522.08","5,835,704"
